commit,probability,prediction,vulnerability_type
65aa59d28ab5f41a06dbfcf25b191f2b3547b78e,0.0,0,0
338da1c0ea0b2f8595d3a7b6d6c9548f7da3e27b,0.0,0,0
e27870eaa6efa1c2dac08aa41a67fe9f0839e6e0,0.0,0,0
9cc02ede696272c5271a401e4f27c262359bc2f6,0.01,0,0
e9c6a182649f4259db704ae15a91ac820e63b0ca,0.0,1,CWE-639
f151e048ed27f6f4eef729f3310d053ab5da71d4,0.0,0,0
9d3032b960ae03066c008d6e6774f68b17a1d69d,0.0,0,0
3ac1d97a1d9353490493d30088256360435f7731,0.02,0,0
64a2e1b799352ac7d7aad1989bc06e7b0f2b01db,0.0,0,0
6994eefb0053799d2e07cd140df6c2ea106c41ee,0.0,0,0
65c4d4ad331e94661de763e9b5304d28698999c4,0.0,0,0
26a6799b9ca80508c05cac7a9a3bef922991520b,0.01,0,0
4b53c2c72cb5541cf394033b528a6fe2a86c0ac1,0.0,0,0
f3554aeb991214cbfafd17d55e2bfddb50282e32,0.0,1,CWE-502
fe448cd28d674c3eff3072552eae366d0b659ce9,0.0,0,0
704866eabe03a9aeda044ec91a8d0c83fc1ebdbe,0.01,0,0
db27ebb111e9f69efece08e4cb6a34ff980f8896,0.0,0,0
d4fc44b58a14f76b1ac997517d742ee12c9dc5d3,0.0,0,0
bd23a7269834dc7c1f93e83535d16ebc44b75eba,0.0,0,0
c300aa64ddf57d9c5d9c898a64b36877345dd4a9,0.02,1,CWE-404
6dedeb40db13971af45276f80b5375030aa7e76f,0.0,0,0
c04082cf138f1f51cedf05ee9ad36fb6763cafc6,0.0,0,0
a2b743f6017d7b97af1fe49087ae15f0ac634373,0.02,0,0
933e96f01a8c889c7bf5ffd30020e86a02a046e7,0.0,0,0
04038bf3633c4b909b5ded3072dc88c8c419bf16,0.04,0,0
894995c41e0795c7a44f81adc4838dedc3932e65,0.01,0,0
5c3fcae78b63ac9dd56e36075903921bd9461f9e,0.0,0,0
2f95fa5c955d0a9987ffdc3a095e2f4e62c5f2a9,0.0,0,0
71223e2db87c2bf3b09aecb46266b56cda26191d,0.0,0,0
5f16640725b1225e6337c62526e6577f0f88edb8,0.0,0,0
ff94dd35673bba1476594299d31ce8293b8bd223,0.0,0,0
7882080388be5088e72c425b02223c02e6cb4295,0.0,0,0
abd39c6ded9db53aa44c2540092bdd5fb6590fa8,0.0,0,0
6713ca45e7757297381f4b4cdb9cf5e624a9ad36,0.0,1,CWE-264
73b1968ee30f6d9d2dae497544b910e68e114bfa,0.0,1,CWE-922
a324ac84e573fba362a5e53d4e74d5de6729933e,0.0,0,0
99e3a236dd43d06c65af0a2ef9cb44306aef6e02,0.02,1,CWE-259
a91be10833e61bcdc9002de28489405101c52650,0.0,0,0
223e0aa6bc7590e86af1e917185a2e0efe160711,0.0,0,0
0102c5d4db7fdbf08b5b591b2a6264de33867a07,0.0,1,CWE-264
4cc27823899e070268b906ca677ee838d07cf67a,0.0,0,0
ea25f914dc164c8d56b36147ecc86bc65f83c469,0.0,0,0
e84c975313e8e8e38bb2ea118196369c45c51378,0.0,0,0
aaa28a508903041dd7399d4159a8ace9766b022f,0.0,0,0
0846719dd11ab3f7a7caee13e7af71f71d913389,0.0,0,0
ae83295915d08a854de27a88efac5dd7353e6d3f,0.0,0,0
cab1c3b3708eead315e033359d07049b23b147a3,0.0,0,0
426aeb2808955ee3d3f52e0cfb102834cdb836a5,0.0,0,0
89f464e9c229006e16f6bb5403c5529fdd0a9edd,0.0,0,0
828358d22c6bcf0a1ade5b3ffaa8018a385bfc6c,0.0,0,0
2de6cf70c5ef31e22ed119a25ac2daeefd3d18a1,0.01,0,0
37ad222868e52271905b94afea4fc780d83294b4,0.0,0,0
faa76f39014ed3b5e2c158593b1335522e573c7f,0.0,0,0
6987918e9a3094ec4fc8976f01f769f624d790fa,0.0,0,0
d0d4e779da0d0f56499c6fa5ba09f0a576cc6b14,0.0,1,CWE-434
da48e7dbb20024c198493b8724adae1b842083aa,0.0,0,0
30f4c7b52a4e2dc0d0b1bae487d90f5437c69d19,0.0,0,0
37bc691e7d26ea4eb61a8a434ebd7a9ae76225ab,0.0,0,0
8a44b04b584b3d3ab1cb68fed410f7ecb165e50e,0.01,0,0
b52fe2dbb3e655eb1483000adfab68a219549e13,0.03,0,0
c098f21fdaadca57ff649eee1674f6cc321a2ec4,0.0,0,0
3c53413eb544cc567309b4c86485eae43e956112,0.0,0,0
1dc0ac5016f1c4d50b100a086526d6a2453a5444,0.0,0,0
be9df82919960214ee4b9d3313523bff44fd99e1,0.0,0,0
b51b21fc63c9805862322551387d9036f2b63433,0.64,1,CWE-120
103b171d8fc282ef435f8de9afbf7782e312961f,0.03,0,0
eaf1aad31e7c0a4908c20a42ae118c4dc8d474b6,0.0,1,CWE-434
630f9c33c23639de85c3fd306b209b538b73b4c9,0.0,0,0
abd7f08b2353f43274b785db8c7224f082ef4d31,0.0,0,0
dfcb9f4f99f1e9a49e43398a7bfbf56927544af1,0.0,0,0
d9092f52d7e61dd1557f2db2400ddb430e85937e,0.02,0,0
b799207e1e1816b09e7a5920fbb2d5fcf6edd681,0.04,0,0
a6981567e8e215acc1ef690c8dbb30f2d9b00a19,0.01,0,0
e091d65835966ef56d53a4105a7362cafdb1582b,0.05,0,0
4a80ebe491609e04110a1dd540a0ca79d3be3d04,0.0,0,0
80eecda8e5d09c442c24307f340840a5b70ea3b9,0.0,0,0
5edabca9d4cff7f1f2b68f0bac55ef99d9798ba4,0.0,0,0
c278c253f3d992c6994d08aa0efb2b6806ca396f,0.0,0,0
8205d5d98ef7f155de211f5e2eb6ca03d95a5a60,0.0,0,0
468cad540fa1b0027cad60456f53feabecdce2bc,0.0,0,0
2da424b0773cea3db47e1e81db71eeebde8269d4,0.0,0,0
499350a5a6e7512d9ed369ed63a4244b6536f4f8,0.0,1,CWE-521
b572b65e518937f43b630991c07369d8e0c79f53,0.0,0,0
69a679cc3a9c087064b7e9521b9e9f3c40dd0b72,0.0,0,0
b45a9a167ca6a3ef2752ae9d48d56ac14b001bfd,0.0,0,0
2b0bbc4f8809c972bad134bc1a2570dbb01dea0b,0.0,0,0
b5fdf5c6e6bee35837e160c00ac89327bdad031b,0.0,0,0
6845667146a28c09b5dfc401c1ad112374087944,0.0,0,0
4d6636498c41891d0482a914dd570343a838ad79,0.0,0,0
49d31c2f389acfe83417083e1208422b4091cd9e,0.64,1,CWE-120
1e5479084bc9852854feb1ba9bf68b52cd127e02,0.0,0,0
e0f869196930ef5f25a0ac41c9215b09c9ce2d3c,0.0,0,0
5f5bc6b1e2d5a6f827bc860ef2dc5b6f365d1339,0.0,0,0
6a3eb3360667170988f8a6477f6686242061488a,0.0,0,0
8b98a2f07175d46c3f7217639bd5e03f2ec56343,0.0,0,0
ec0223ec48a90cb605244b45f7c62de856403729,0.0,0,0
3207ddb0103543da8ad2139ec6539f590f9900c1,0.0,0,0
ab6c9332bfa1e20127a16392a0b85a4aa4840889,0.0,0,0
89d7ae34cdda4195809a5a987f697a517a2a3177,0.0,0,0
2938329ce19cb8c4197dec146c3ec887c6f61d01,0.0,0,0
320b2b8de12698082609ebbc1a17165727f4c893,0.0,0,0
04a567494786d5bb50894fc8bb8fea0cf496bea8,0.0,1,CWE-94
d34267d0503a67235bf259fd2f2f2d2bb8b18cf5,0.0,0,0
d3bd7413e0ca40b60cf60d4003246d067cafdeda,0.0,0,0
66417b17b3570b163a16ca81f71ce5bcb10548d2,0.0,0,0
17743798d81238ab13050e8e2833699b54e15467,0.0,0,0
4ac39c76c0153d1ee6889a0984c39e97731684b2,0.01,0,0
4dcc29e1574d88f4465ba865ed82800032f76418,0.0,1,CWE-327
4905ef1130feb26c3150b28b97e4a96752e0d399,0.0,0,0
f18c873ab5ee3c78d00fdcc2582b39c133faecb4,0.0,0,0
39e72bf96f5847ba87cc5bd7a3ce0fed813dc9ad,0.01,0,0
d0d62baa7f505bd4c59cd169692ff07ec49dde37,0.0,0,0
cd21d99e595ec1d8721e1058dcdd4f1f7de1d793,0.0,0,0
6d86e20e1e7caaab4f0c7f89e36d32914dbccc52,0.0,0,0
025e77fcb2f45b21689931ba3bf74eac153afa48,0.0,0,0
6790815c75bdea0357df5564345847856e995d6b,0.0,0,0
f228601de45c5b53241b103af6616453c50885a5,0.0,0,0
5efe2947ab45e81d84b5f707c51d1c64be52f36c,0.01,0,0
1463db37d9bbc9cd532afdf2817caaf8eb367831,0.0,0,0
d6b57f461b39fd1aa8c1b870f1b974aac3554955,0.02,0,0
81d135d67155c5295b1033679c606165d4e28f3f,0.0,0,0
844817e47eef14141cf59b8d5ac08dd11c0a9189,0.0,0,0
5b597a2e5b28e2d5a52fc1be13f425f08f47cb62,0.0,0,0
410dd3cf4c9b36f27ed4542ee18b1af5e68645a4,0.0,0,0
833b6f1672b4f2991a63c4d05318f0b84ef4d550,0.0,0,0
bbb1e6e2f467ee4bd7b9a8c800e4f07343d7d99b,0.02,0,0
5d2e73a5f80a5b5aff3caf1ec6d39b5b3f54b26e,0.0,1,CWE-275
8c2ea3030af7b40a3c4275696fb5c76cdb80950a,0.0,0,0
57e68e9cd65b4b8eb4045a1e0d0746458502554c,0.0,0,0
e0bccd315db0c2f919e7fcf9cb60db21d9986f52,0.0,0,0
bb7f0f989ca7de1153bd128a40a71709e339fa03,0.0,0,0
6296f7153f0c9d5e5cd3aaf08f9731e56621bdd3,0.0,1,CWE-22
b8edbda019eeb99da8663193e224efc9d1265dc7,0.0,0,0
e1182fac1afba92a4975917823a5f644bee7e6e8,0.0,0,0
505d9dcb0f7ddf9d075e729523a33d38642ae680,0.0,0,0
16387744,0.01,0,0
5f25c3855071bd7e26255c68bf458b1b5cf92f39,0.03,0,0
bd36c5dc9fb6d90c46fbfed8c2d67516fc571ec8,0.0,1,CWE-327
23820dbfc79d1c9dce090b4c555994f2bb6a69b3,0.0,0,0
c0f5ecee4e741667b2493c742b60b6218d40b3aa,0.0,0,0
c2b662170245a16f46ce02eae68815c325d99821,0.01,0,0
a9d5256890c9189c7461bfce6ed6edce5d861499,0.0,0,0
52f91c3723932f8340fe36c8ec8b18a757c37b2b,0.0,0,0
7a9cdebdcc17e426fb5287e4a82db1dfe86339b2,0.0,0,0
903fd8a0789ca3cc3c21d84cd0282481515592ef,0.0,0,0
f153b563f8cf121aebf5a2fff5f0110faf58ccb3,0.0,0,0
afca6c5b2595fc44383919fba740c194b0b76aff,0.0,0,0
c97f870f5ae13112988d9f8ad464b4f679903706,0.0,0,0
5ba34b1fe741d69d43a6c8cf767756997eadd87c,0.0,0,0
7cadd489698be117c47efcadd742651594429e6d,0.0,0,0
c8c083cb750606b2da81582cd8e43b442bb143e6,0.05,0,0
450bd716ed3b9186dd10f9e60f630a3d9eeea2a4,0.0,0,0
9d9f4dc6c833cb79d13f836581e3a781d06842e7,0.0,0,0
4f085eea879e2be745f4d9bf57e8513ae48157f4,0.01,0,0
1eb08bcd4634ae42ec45e8284923ac048beaa4c3,0.02,1,CWE-79
f59593e6ff730b832dbe8754916cb5c821db579f,0.0,0,0
17a552666b50896a9b9dde8ee6a1052e7f9a622e,0.0,0,0
7ba1409a1aee5925180de546057ddd84ff267947,0.0,1,CWE-259
9198c1f2b1ddecde22af918541e0de2a32f0f45a,0.0,0,0
68a7add68a725203cccf98d7d6c752a6bad866c0,0.0,0,0
dc0b027dfadfcb8a5504f7d8052754bf8d501ab9,0.0,0,0
