内蒙古呼和浩特市什兰岱村绿色蔬菜基地 -> 纬度: 40.838268, 经度: 111.81064
内蒙古巴彦淖尔临河区小乡联丰村 -> 纬度: 40.824641, 经度: 107.587992
内蒙古呼和浩特市根堡村 -> 纬度: 40.701969, 经度: 111.818987
内蒙古自治区巴彦淖尔市临河区八一乡联丰村3组 -> 纬度: 41.061522, 经度: 107.3199
内蒙古通辽市科尔沁区科尔沁大街141号 -> 纬度: 43.611971, 经度: 122.282783
内蒙古锡林郭勒盟正蓝旗桑根达来火车站 -> 纬度: 42.67548, 经度: 115.952019
内蒙古霍林郭勒巴润布尔嘎斯台社区 -> 纬度: 45.527023, 经度: 119.68554
内蒙古自治区巴彦淖尔市临河区解放街阳光花园小区 -> 纬度: 40.764489, 经度: 107.401635
内蒙古呼和浩特市赛罕区大厂库伦村 -> 纬度: 40.841681, 经度: 111.82942
内蒙古乌兰察布市哈尔右翼前旗南村蔬菜种植基地 -> 纬度: 40.875439, 经度: 113.895479
内蒙古阿拉善左盟南田村 -> 纬度: 38.82644, 经度: 105.681644
内蒙古通辽市清河镇东姜家窝堡村 -> 纬度: 43.605252, 经度: 122.3669
内蒙古霍林郭勒市六亩地生态农庄 -> 纬度: 45.551682, 经度: 119.703286
四川省成都市郫县菜市场 -> 纬度: 30.795113, 经度: 103.900486
四川省遂宁市射洪县 -> 纬度: 30.871079, 经度: 105.388366
四川广元朝天区曾家镇曾家山 -> 纬度: 32.628249, 经度: 106.107644
四川省广元市利州杨家豪村 -> 纬度: 32.433756, 经度: 105.845307
四川省凉山彝族自治州西昌市城中村尤家屯安置小区 -> 纬度: 27.875046, 经度: 102.273025
四川省凉山彝族自治州西昌市海门渔村观海路二段 -> 纬度: 27.857561, 经度: 102.263422
四川省凉山西昌市西宁镇北 -> 纬度: 27.89441, 经度: 102.264166
四川省攀枝花市农副产品批发市场南 -> 纬度: 26.45154, 经度: 101.763862
四川省攀枝花市仁和区总发乡凹子坡 -> 纬度: 26.459961, 经度: 101.760318
四川省广元市利州区杨家浩村 -> 纬度: 32.454033, 经度: 105.806595
四川省凉山州西昌市长宁北路 -> 纬度: 27.906377, 经度: 102.221192
广西壮族自治区河池市宜洲区锦怡苑中山大道北 -> 纬度: 24.487177, 经度: 108.659163
河北省张家口市张家口文化艺术会展中心沈家屯镇纬三桥 -> 纬度: 40.76029, 经度: 114.882242
河北张家口尚义县八道沟镇宣夭洼行政村石庄洼自然村031号 -> 纬度: 41.173559, 经度: 114.129754
福建省宁德市古田县平湖镇富达村 -> 纬度: 26.699412, 经度: 118.827523
福建省福州市长乐市广场799号等岐明珠 -> 纬度: 25.962925, 经度: 119.522952
福建省漳州市龙海市颜厝镇巧山村 -> 纬度: 24.479144, 经度: 117.676088
福建省漳州市龙海市浦园下社自然村光华涂料厂 -> 纬度: 24.479712, 经度: 117.671458
福建省龙岩市新罗区东肖南路龙岩学院青年教师公寓东侧 -> 纬度: 25.027375, 经度: 117.018256
福建泉州市晋江市池店大桥南50米 -> 纬度: 24.861544, 经度: 118.57958
陕西省延安市安塞县黄崖根村 -> 纬度: 36.763826, 经度: 109.349241
陕西省榆林市榆阳区建榆路 -> 纬度: 38.274842, 经度: 109.728254
青海省西宁市大通县新庄镇台其庄村 -> 纬度: 37.057327, 经度: 101.599842
青海大学马铃薯实验基地 -> 纬度: 36.728189, 经度: 101.749406
青海省西宁市莫家庄村 -> 纬度: 36.721026, 经度: 101.760134
青海省西宁市汪家村 -> 纬度: 36.740584, 经度: 101.773396
青海省西宁市玛可河林业局苗木培育基地 -> 纬度: 36.616621, 经度: 101.777795
青海黄南藏族自治州同仁县夏琼南路 -> 纬度: 35.513266, 经度: 102.013819
青海省海西藏族自治州格尔木市园艺场 -> 纬度: 36.407272, 经度: 94.928293
青海西宁市城中区清河村 -> 纬度: 36.520692, 经度: 101.660679
云南呈贡区吴家营 -> 纬度: 24.851415, 经度: 102.839713
云南省昆明市元谋县羊街乡甘泉村 -> 纬度: 24.88149, 经度: 102.833669
云南省昆明市晋宁县牛恋村蔬菜大棚 -> 纬度: 24.686089, 经度: 102.687353
云南省德宏州芒市团结大街163号 -> 纬度: 24.428377, 经度: 98.577336
云南省普洱市振兴兆路 -> 纬度: 22.825229, 经度: 100.966011
云南省普洱市思江路普洱市职业教育中心西门 -> 纬度: 22.762052, 经度: 101.00517
云南省普洱市土壤肥料工作站 -> 纬度: 22.823491, 经度: 100.962044
云南省西双版纳傣族自治州曼阁村 -> 纬度: 22.024761, 经度: 100.800752
云南昆明市官渡区管上镇和甸营村 -> 纬度: 25.005232, 经度: 102.761307
云南昆明市呈贡区环湖东路新村公交站 -> 纬度: 24.842236, 经度: 102.780296
云南昆明市官渡区官渡镇宝丰村四组 -> 纬度: 24.970249, 经度: 102.774737
云南大理白族自治州大理市银桥镇上营村 -> 纬度: 25.75308, 经度: 100.152579
云南省大理白族自治州大理古城苍坪街28号 -> 纬度: 25.689384, 经度: 100.163912
云南省大理白族自治州大理镇南五里桥村15组 -> 纬度: 25.673385, 经度: 100.168904
云南省红河市建水县迎晖路312号 -> 纬度: 23.632183, 经度: 102.836202
云南省昆明市呈贡区斗南江尾村 -> 纬度: 24.87752, 经度: 102.783536
云南省蒙自市草坝镇 -> 纬度: 23.500032, 经度: 103.370952
云南省昆明市呈贡区吴家营 -> 纬度: 24.851415, 经度: 102.839713
云南省昆明市呈贡区新村 -> 纬度: 24.885738, 经度: 102.822104
云南省澄江县澄川线159乡 -> 纬度: 24.634365, 经度: 102.887014
云南省普洱市思茅区大寨村 -> 纬度: 22.748963, 经度: 101.030644
云南省普洱市思茅区思江路 -> 纬度: 22.760329, 经度: 101.00056
云南省瑞丽市勐卯镇喊沙村 -> 纬度: 23.971774, 经度: 97.810037
云南省芒市风平镇芒里村 -> 纬度: 24.433766, 经度: 98.58809
云南省保山市隆阳区芒宽乡丙闷村 -> 纬度: 25.087337, 经度: 98.837765
云南省玉溪市澄江县龙街镇立昌村社区 -> 纬度: 24.522762, 经度: 102.851947
云南省临沧市凤庆县凤山镇前锋村 -> 纬度: 24.569987, 经度: 99.921658
云南省临沧市凤庆县凤山镇大有村 -> 纬度: 24.568752, 经度: 99.930551
云南省红河州元阳县南沙镇寨刀村 -> 纬度: 23.219931, 经度: 102.835222
云南省玉溪市澄江县立昌镇万松寺村 -> 纬度: 24.527944, 经度: 102.840216
云南省玉溪市澄江县立昌万松寺 -> 纬度: 24.527944, 经度: 102.840216
云南省玉溪市峨山乡富良棚石板村阿依新村小组 -> 纬度: 24.090624, 经度: 102.545557
云南省芒市芒市镇芒核村委会等相村民小组 -> 纬度: 24.435677, 经度: 98.559624
云南省昆明市寻甸回族彝族自治县鸡街镇极乐村委会 -> 纬度: 25.608632, 经度: 102.75295
云南省昆明市盘龙区盘江西路边 -> 纬度: 25.121184, 经度: 102.752869
云南省红河哈尼族彝族自治州河口县马多依下寨 -> 纬度: 22.640141, 经度: 103.959495
云南省红河哈尼族彝族自治州河口县职业高级中学 -> 纬度: 22.547772, 经度: 103.956663
云南省昆明市官渡区宝象河东绕城高速公路西 -> 纬度: 24.956942, 经度: 102.790723
云南大理白族自治州大理镇大理214国道 -> 纬度: 25.535225, 经度: 100.329626
云南省红河哈尼族自治州河口县职业高级中学 -> 纬度: 22.547772, 经度: 103.956663
云南省普洱市思茅区洗马河 -> 纬度: 22.783559, 经度: 100.980339
云南省普洱市思茅区大寨 -> 纬度: 22.747558, 经度: 101.030222
云南省普洱市思茅区梅兰村 -> 纬度: 22.76716, 经度: 100.994812
云南省昆明市盘龙区云南农业大学茶园 -> 纬度: 25.128494, 经度: 102.748868
云南省西双版纳热带植物园 -> 纬度: 21.917224, 经度: 101.273887
云南省德宏自治州瑞丽市勐糯镇勐糯村 -> 纬度: 24.018377, 经度: 97.855423
云南省昭通市太平街道韩家坡 -> 纬度: 27.391598, 经度: 103.789421
云南省昆明市呈贡区江尾村 -> 纬度: 24.87752, 经度: 102.783536
云南省红河州蒙自市草坝镇 -> 纬度: 23.500032, 经度: 103.370952
云南省红河州泸西县泸发大街中段 -> 纬度: 24.522639, 经度: 103.758249
云南省红河州建小县曲江镇 -> 纬度: 23.947313, 经度: 102.792491
云南省德宏芒市风平镇芒赛村 -> 纬度: 24.449393, 经度: 98.532445
云南省红河州个旧市大屯镇搂房寨 -> 纬度: 23.409366, 经度: 103.275824
云南省临沧市临翔区湾子村 -> 纬度: 23.895298, 经度: 100.082073
云南省昆明市呈贡区自卫公路边 -> 纬度: 24.885738, 经度: 102.822104
