图书名称,作者,出版社,出版时间,价格
基层女性（“玲玲Peter和四只猫”作品，探讨关于爱、金钱与精神世...,王慧玲,磨铁文化,王慧玲著；磨铁文化出品,¥29.80
保重（大冰小蓝书系列收官之作！就此别过，诸君保重。）,大冰,磨铁文化,大冰著，磨铁文化出品,¥24.00
漫画讲透黄帝内经 十二时辰养生智慧 二十四节气养生智慧 中医八大...,张嘉铭,王婧,张嘉铭，王婧,¥13.80
毛泽东选集（全四册，32开）,毛泽东,未知,毛泽东著,¥56.70
基层女性生存指北 基层女性作者新作 随书附赠作者原创手绘作品,王慧玲,磨铁文化,王慧玲著，磨铁文化出品,¥34.80
我与地坛（纪念版）（2024年百班千人寒假书单 九年级推荐阅读）,史铁生,未知,史铁生,¥16.00
红岩 八年级上册阅读名著正版原著罗广斌杨益言著爱国主义红色经典...,罗广斌,杨益言,"罗广斌,杨益言著",¥38.40
悉达多（心动的信号7彭高翁青雅同款，翻译家姜乙译本）【果麦经典...,赫尔曼・黑塞,姜乙,[德]赫尔曼・黑塞，译者：姜乙，果麦文化出品,¥13.50
小狗疑心大宇宙阴谋篡夺它的位置（泰戈尔童心诗选，我们这一生注...,泰戈尔,郑振铎,[印]泰戈尔著；郑振铎白开元译注；红花HONGHUA绘,¥29.90
被讨厌的勇气,岸��一郎,古�R史健,"岸��一郎,古�R史健",¥29.80
波西和皮普11册超值套装赠同款精美贴纸名字贴(小小聪明豆系列绘本...,阿克塞尔・舍夫勒,未知,（德）阿克塞尔・舍夫勒,¥75.40
病隙碎笔（光影纪念版，书内彩插作者亲摄照片12幅）史铁生充满灵...,史铁生,博集天卷,"史铁生著,博集天卷出品",¥21.60
如果历史是一群喵14・明末清初篇,肥志,漫友文化出品,肥志编绘，漫友文化出品,¥26.20
女人的胜利 余华现实主义代表作 余华写出轨！太真实太犀利了！荒...,余华,读客文化,余华;读客文化出品,¥35.80
【印签版】一句顶一万句（刘震云作品，一本让“中国脱口秀扛把子...,刘震云,长江新世纪,刘震云，长江新世纪出品,¥29.30
我胆小如鼠 新版上市 余华特别增订5千字成长经验访谈 我曾是敏感...,余华,读客文化,余华;读客文化出品,¥35.80
窄门（诺贝尔文学奖经典 读完《窄门》便读懂了纪德的一生 法文直...,安德烈・纪德,顾琪静,[法]安德烈・纪德，译者顾琪静，果麦文化出品,¥18.90
跟着诗词去旅行 少年游学地理百科,日知图书,未知,日知图书编著,¥9.90
活着（余华代表作，精装，易烊千玺推荐阅读）,余华,新经典,余华著 ，新经典出品,¥31.00
2024年诺贝尔文学奖得主韩江作品：素食者（亚洲首位布克国际文学...,韩江,胡椒筒,(韩)韩江著 ;胡椒筒译，磨铁文化出品,¥36.40
三体(3册)： 刘慈欣代表作，亚洲“雨果奖”获奖作品！中国科幻基...,刘慈欣,未知,刘慈欣,¥39.10
蛤蟆先生去看心理医生（热销300万册！英国经典心理咨询入门书，知...,罗伯特・戴博德,果麦文化,罗伯特・戴博德，果麦文化出品,¥22.80
啊2.0（大冰作品！狂销100万册！新增10万字并包含旧书全文。）,大冰,磨铁图书,大冰著，磨铁图书出品,¥24.00
国家为什么会失败  中美贸易战【2024诺贝尔经济学奖获奖者作品】,德隆・阿西莫格鲁,詹姆斯・A・罗宾逊,【美】德隆・阿西莫格鲁、【美】詹姆斯・A・罗宾逊,¥49.00
强者破局：资治通鉴成事之道（《资治通鉴》管理智慧*冯唐成事学，...,冯唐,未知,冯唐,¥51.80
